step,t_s,guidance_updated,trajectory_id,guidance_cycle_index,sigma_cmd_rad,sigma_target_rad,sigma_actual_rad,roll_rate_rad_s,roll_accel_rad_s2,tau_roll_cmd_Nm,tau_roll_capacity_Nm,requested_duty,fired_this_step,num_internal_steps,num_fired_internal_steps,roll_pos_backlog_s,roll_neg_backlog_s,roll_pos_is_on,roll_neg_is_on,active_thrusters,torque_z_from_rcs,force_x_from_rcs,force_y_from_rcs,force_z_from_rcs,r_m,phi_rad,lam_rad,V_mps,gamma_rad,chi_rad,alt_m,rho_kgm3,q_pa,T_K,p_Pa,drag_mag_N,lift_mag_N,lift_vertical_plane_N,lift_lateral_left_N,gravity_mps2,range_to_go_m,great_circle_range_m,great_circle_angle_rad,target_course_chi_rad,target_azimuth_north_rad,heading_error_rad,heading_offset_psi_rad,north_error_m,east_error_m,along_track_error_m,cross_track_error_m,interval_active,interval_failed,interval_failure_time_s,interval_failure_reason,interval_failure_kind,nominal_continued_after_interval_failure,last_valid_interval_available,last_valid_interval_time_s,interval_step_failure_kind,interval_step_failure_reason,interval_step_heat_violation,interval_step_numerical_failure,interval_step_recentered,interval_step_recenter_reason,interval_step_split,interval_step_split_reason,interval_step_split_depth,interval_sigma_lo,interval_sigma_hi,interval_rho_lo,interval_rho_hi,interval_q_lo,interval_q_hi,interval_alt_lo,interval_alt_hi,width_r_m,width_phi_rad,width_lam_rad,width_V_mps,width_gamma_rad,width_chi_rad,dx_width_r,dx_width_phi,dx_width_lam,dx_width_V,dx_width_gamma,dx_width_chi,heating_qdot_max_lo,heating_qdot_max_hi,heating_qdot_mean_lo,heating_qdot_mean_hi,heating_Q_max_lo,heating_Q_max_hi,nominal_heat_qdot_max_lo,nominal_heat_qdot_max_hi,nominal_heat_Q_max_lo,nominal_heat_Q_max_hi,nominal_heat_violation,nominal_heat_violation_reason,guidance_selected_candidate_index,guidance_any_feasible_candidate,guidance_selected_candidate_heat_feasible,guidance_selected_interval_screen_used,guidance_selected_interval_failure_kind,guidance_chosen_sigma_cmd_deg,guidance_chosen_sigma_mag_deg,guidance_heading_deadband_deg,guidance_current_altitude_rate_mps,guidance_selected_geometry_cost,guidance_selected_heat_penalty,guidance_selected_total_cost,guidance_selected_failure_reason,guidance_selected_violation_amount,guidance_selected_first_violation_step,guidance_selected_first_violation_time_s,guidance_selected_max_heating_rate_lo,guidance_selected_max_heating_rate_hi,guidance_selected_max_heat_load_lo,guidance_selected_max_heat_load_hi,guidance_candidate_count,guidance_candidate_sigma_deg_json,guidance_candidate_cost_json,guidance_candidate_heat_flag_json,guidance_candidate_failure_reason_json,safety_status,safety_checks,layer_indices,r_m_lo,r_m_hi,r_m_width,phi_rad_lo,phi_rad_hi,phi_rad_width,lam_rad_lo,lam_rad_hi,lam_rad_width,V_mps_lo,V_mps_hi,V_mps_width,gamma_rad_lo,gamma_rad_hi,gamma_rad_width,chi_rad_lo,chi_rad_hi,chi_rad_width
102,25.5,False,traj_000,100,1.2217304763960306,1.2217304763960306,1.4449887781195518,0.08682928592988497,-0.09679330234806877,-2046.8958949978605,5693.72366753344,0.3595003928043789,1,50,17,0.027684006626402788,0.05611506677674445,0,1,"POD0_RNEG,POD1_RNEG,POD2_RNEG,POD3_RNEG",-1935.86604696137,3.865352482534945e-14,4.445160296229901e-14,0.0,6435386.869714636,0.04083574952980531,0.00011792265778683943,9996.475503839325,-0.07426358684526989,1.55982466775905,57286.869714636356,0.00043204261290409965,21586.906003333177,254.4746508644246,31.55972433952523,487436.5944429728,118680.21429915862,14891.511514767315,-117742.24454672063,9.624717124399552,2167103.8229979724,2167103.8229979724,0.33977263181793516,0.7230271298852075,0.8477691969096891,-0.8367975378738425,-0.8367975378738425,1433880.4131351379,1624907.9790806102,1451621.6893065597,-1609078.4476796638,1,0,,,,0,1,25.5,none,,0,0,0,,0,,0,1.4449887781195518,1.4449887781195518,0.00038389370807416045,0.00048584549133765003,18905.7382076029,24603.58162736571,56475.56898843683,58097.14251180459,1640.514183472842,0.0006230701677648401,0.0006574973956505955,143.22416799260645,0.006585222064044327,0.00927762779088881,75.76264041853983,2.290700022602901e-05,1.4480806003677624e-05,15.19964790268449,8.490162499162743e-05,0.0003876941489148358,1533393.458165807,3854487.867068971,1971505.8747846086,2312692.7202413823,24153802.61758645,56976737.078754224,1662390.9171191587,3562266.250969626,25344366.41557219,54309356.60479751,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-747.7972739345284,58.122790134082535,0.0,58.122790134082535,,0.0,-1,,1515049.3130230363,4356727.600183326,23389371.310983777,94957452.38098283,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.863965442633535, 58.3645870108146, 58.313425697939024, 58.26614499665767, 58.22311527757598, 58.18467084332144, 58.15113308482971, 58.122790134082535]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",5,6434380.711412439,6436021.225595912,1640.514183472842,0.04090941456354028,0.04153248473130512,0.0006230701677648401,-0.0002058220788876173,0.0004516753167629781,0.0006574973956505955,9908.2778336627,10051.502001655306,143.22416799260645,-0.07734532450414255,-0.07076010244009823,0.006585222064044327,1.5547790896367164,1.5640567174276052,0.00927762779088881
103,25.75,False,traj_000,100,1.2217304763960306,1.2217304763960306,1.4613795851274662,0.06120752942598442,-0.1024870260156022,-2133.3835575077096,5693.72366753344,0.37469039280438177,1,50,18,0.027684006626402788,0.059950462848701085,0,0,"POD0_RNEG,POD1_RNEG,POD2_RNEG,POD3_RNEG",-2049.740520312039,4.092726157978177e-14,4.706640313655189e-14,0.0,6435201.446729791,0.041222995964228765,0.00012217510923314407,9982.31766071416,-0.07407254241749212,1.5594771138644854,57101.44672979135,0.00044184102912776747,22013.992700653725,254.98464765231162,32.340160032441254,497080.2962889752,121028.24605296791,13216.108859534379,-120304.49205773938,9.625271782867824,2165450.0247053597,2165450.0247053597,0.33951333856561666,0.7222128444730251,0.8485834823218714,-0.8372642693914603,-0.8372642693914603,1431463.5611633817,1624834.1092425073,1449763.309828161,-1608527.3249070214,1,0,,,,0,1,25.75,none,,0,0,0,,0,,0,1.4613795851274662,1.4613795851274662,0.00039214861385594653,0.000497422926348165,19249.39305338419,25127.988777426122,56280.71141243912,57921.225595911965,1659.5481704175472,0.0006289468133969661,0.000661153909085387,147.14417470225817,0.006605479406113182,0.009378043706668837,76.13594778101663,2.3506582528507163e-05,1.4626053739166119e-05,15.680026838603368,8.102936827541173e-05,0.0004016636631199691,1542229.538778871,3885779.525664939,1982866.5498585484,2331467.7153989635,24539360.002281167,57948181.960170455,1674003.3625626783,3587150.0626343107,25762867.256212857,55206144.12045609,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-747.7972739345284,58.122790134082535,0.0,58.122790134082535,,0.0,-1,,1515049.3130230363,4356727.600183326,23389371.310983777,94957452.38098283,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.863965442633535, 58.3645870108146, 58.313425697939024, 58.26614499665767, 58.22311527757598, 58.18467084332144, 58.15113308482971, 58.122790134082535]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",5,6434186.545969252,6435846.094139669,1659.5481704175472,0.04129309059377706,0.041922037407174026,0.0006289468133969661,-0.00020323377459824645,0.0004579201344871405,0.000661153909085387,9891.759833051456,10038.904007753714,147.14417470225817,-0.07716997911411005,-0.07056449970799687,0.006605479406113182,1.5543699803512483,1.5637480240579171,0.009378043706668837
104,26.0,True,traj_000,104,1.2217304763960306,1.2217304763960306,1.4709165722705826,0.03273891108831727,-0.11387447335066858,-2162.022987555423,5693.72366753344,0.37972039280438524,1,50,20,0.027684006626402788,0.05695805892065775,0,0,"POD0_RNEG,POD1_RNEG,POD2_RNEG,POD3_RNEG",-2277.4894670133767,4.5474735088646414e-14,5.229600348505765e-14,0.0,6435016.761812276,0.04160970908167581,0.00012655630634269722,9967.87573113788,-0.07388726179428337,1.5591214951408794,56916.76181227621,0.0004518017864743067,22445.184425744275,255.49264363790118,33.13511131898755,506816.69047152624,123398.84637567597,12304.564330912284,-122783.84659015256,9.625824281206288,2163799.3528579306,2163799.3528579306,0.33925453549770784,0.7213986569817978,0.8493976698130987,-0.8377228381590816,-0.8377228381590816,1429050.0048818192,1624759.5892856496,1447920.9787926367,-1607965.3225740197,1,0,,,,0,1,26.0,none,,0,0,0,,0,,0,1.4709165722705826,1.4709165722705826,0.0004005266050054478,0.0005092102709773981,19595.145855924042,25659.002102601527,56086.54596925154,57746.09413966909,1678.6745117353275,0.0006349780575181443,0.0006648480810366876,151.1872678395921,0.006625383532176829,0.009481965413635107,76.50536527222164,2.4124976484708564e-05,1.4776687805202445e-05,16.17237254933753,7.961650425461302e-05,0.00041568682786486256,1550834.7431780852,3916786.0393016087,1993930.3840861088,2350071.6235809643,24927068.688075688,58927378.46999586,1685430.9475571988,3611637.744765426,26184224.993102156,56109053.55664745,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-735.8290950040654,58.033057181302496,0.0,58.033057181302496,,0.0,-1,,1550834.7431780852,4359019.8902547,24927068.688075688,99158014.24905303,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.82703853396875, 58.292772945859, 58.23792774959744, 58.18720984678174, 58.141005301446484, 58.09968972608394, 58.06360560501687, 58.033057181302496]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",5,6433993.062638446,6435671.737150181,1678.6745117353275,0.041676140081402774,0.04231111813892092,0.0006349780575181443,-0.00020053128020883072,0.0004643168008278568,0.0006648480810366876,9874.888713883434,10026.075981723026,151.1872678395921,-0.07699802322921317,-0.07037263969703635,0.006625383532176829,1.5539511117319953,1.5634330771456304,0.009481965413635107
105,26.25,False,traj_000,104,1.2217304763960306,1.2217304763960306,1.4736922625585034,0.005693723667533424,-0.1081807496831354,-2124.444411349685,5693.72366753344,0.3731203928043823,1,50,19,0.027684006626402788,0.055968058920657364,0,0,"POD0_RNEG,POD1_RNEG,POD2_RNEG,POD3_RNEG",-2163.614993662708,4.320099833421409e-14,4.9681203310804766e-14,0.0,6434832.804538526,0.0419958775280264,0.0001310688686808062,9953.147002598596,-0.07370552295759868,1.5587580234368859,56732.80453852564,0.00046192677128441956,22880.41903767617,255.99866714773376,33.9447744294093,516644.3738362026,125791.67362968414,12195.695710726772,-125199.0821080104,9.626374650036958,2162151.83858935,2162151.83858935,0.3389962274955473,0.7205845996506861,0.8502117271442104,-0.8381734237861997,-0.8381734237861997,1426639.8145036316,1624684.4040577086,1446094.4122141697,-1607392.7721867678,1,0,,,,0,1,26.25,none,,0,0,0,,0,,0,1.4736922625585034,1.4736922625585034,0.0004090288392324406,0.0005212103864067302,19942.901950513882,26196.607245713625,55893.06263844576,57571.737150181085,1697.8937352942303,0.0006411687332246591,0.000668581262700176,155.35649390758044,0.0066456089321031975,0.009589421649490504,76.87689423877362,2.4762702826043896e-05,1.4932726653953926e-05,16.676904271951393,8.090159970545259e-05,0.0004298249434215723,1559203.288006868,3947497.5718795736,2004689.9417231162,2368498.5431277445,25316869.510077406,59914252.86296575,1696668.3899678276,3635717.9785024878,26608392.090594113,57017983.05127307,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-735.8290950040654,58.033057181302496,0.0,58.033057181302496,,0.0,-1,,1550834.7431780852,4359019.8902547,24927068.688075688,99158014.24905303,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.82703853396875, 58.292772945859, 58.23792774959744, 58.18720984678174, 58.141005301446484, 58.09968972608394, 58.06360560501687, 58.033057181302496]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",5,6433800.256277506,6435498.1500128005,1697.8937352942303,0.04205854902407513,0.04269971775729979,0.0006411687332246591,-0.00019771268613786886,0.00047086857656230717,0.000668581262700176,9857.660107262813,10013.016601170393,155.35649390758044,-0.07682742658272097,-0.07018181765061778,0.0066456089321031975,1.5535226216815703,1.5631120433310608,0.009589421649490504
106,26.5,False,traj_000,104,1.2217304763960306,1.2217304763960306,1.4698418819283323,-0.02135146375325042,-0.10818074968313537,-2038.469183969916,5693.72366753344,0.3580203928043798,1,50,19,0.027684006626402788,0.05191295695663507,0,0,"POD0_RNEG,POD1_RNEG,POD2_RNEG,POD3_RNEG",-2163.614993662708,4.320099833421409e-14,4.9681203310804766e-14,0.0,6434649.570071176,0.04238148990689375,0.00013571530848894807,9938.128798524522,-0.07352497985473885,1.5583868551662845,56549.570071175694,0.00047221758159351134,23319.61622357634,256.50273114856924,34.76932315092287,526561.5329024931,128206.28627191139,12921.020258119011,-127553.51455418457,9.626922903279553,2160507.513503611,2160507.513503611,0.33873841951421446,0.7197707047604001,0.8510256220344965,-0.8386161504058844,-0.8386161504058844,1424233.060522981,1624608.5390699196,1444283.415695407,-1606809.9237472878,1,0,,,,0,1,26.5,none,,0,0,0,,0,,0,1.4698418819283323,1.4698418819283323,0.00041765616225397043,0.0005334258783139001,20292.54777096717,26740.773024496437,55700.25627750624,57398.15001280047,1717.2079957025126,0.0006475238074901135,0.0006723548162116426,159.65495574093438,0.006666886237993622,0.009700444011967013,77.25704163155694,2.5420297061821062e-05,1.5094214045866038e-05,17.193847333415775,8.510922356166602e-05,0.0004440894499059488,1567328.795171604,3977903.2424461534,2015137.022363491,2386741.945467692,25708701.708870307,60908728.67357729,1707709.8608814424,3659378.2733173766,27035319.555814475,57932827.61960241,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-735.8290950040654,58.033057181302496,0.0,58.033057181302496,,0.0,-1,,1550834.7431780852,4359019.8902547,24927068.688075688,99158014.24905303,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.82703853396875, 58.292772945859, 58.23792774959744, 58.18720984678174, 58.141005301446484, 58.09968972608394, 58.06360560501687, 58.033057181302496]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",5,6433608.126839136,6435325.334834838,1717.2079957025126,0.04244030330714759,0.043087827114637704,0.0006475238074901135,-0.00019477617233293204,0.0004775786438787105,0.0006723548162116426,9840.06965851316,9999.724614254095,159.65495574093438,-0.07665608078123505,-0.06998919454324143,0.006666886237993622,1.553084636611787,1.562785080623754,0.009700444011967013
107,26.75,False,traj_000,104,1.2217304763960306,1.2217304763960306,1.4595006563171733,-0.04839665117403423,-0.10818074968313524,-1899.485389245412,5693.72366753344,0.33361039280437754,1,50,19,0.027684006626402788,0.04503740302859095,0,0,"POD0_RNEG,POD1_RNEG,POD2_RNEG,POD3_RNEG",-2163.614993662708,4.320099833421409e-14,4.9681203310804766e-14,0.0,6434467.05943475,0.042766534783001464,0.00014049805195972162,9922.818490052827,-0.07334318286660643,1.5580081368846108,56367.05943475012,0.0004826754801706689,23762.67543020587,257.0048324845082,35.60890482199841,536565.897158434,130642.13148205352,14509.905233376898,-129833.85216611491,9.627469037319289,2158866.4095597086,2158866.4095597086,0.3384811165644484,0.7189570046657178,0.8518393221291788,-0.839051132218893,-0.839051132218893,1421829.8136901313,1624531.9803645336,1442487.8110538977,-1606217.0118904111,1,0,,,,0,1,26.75,none,,0,0,0,,0,,0,1.4595006563171733,1.4595006563171733,0.0004264090585804079,0.000545859053086394,20643.94875000293,27291.449456993007,55508.12683913577,57225.334834838286,1736.6211899248883,0.0006540483846385892,0.0006761701158879859,164.0858141032495,0.006690002927679559,0.009815052581396255,77.6527768900213,2.6098308593903476e-05,1.526119870537314e-05,17.723433449264512,9.246675874371676e-05,0.0004584342777169863,1575204.256660119,4007991.0662682382,2025262.6157058673,2404794.6397609427,26102502.773035336,61910726.440144345,1718548.9525479842,3682604.8983171093,27464956.79395147,58853478.84418169,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-735.8290950040654,58.033057181302496,0.0,58.033057181302496,,0.0,-1,,1550834.7431780852,4359019.8902547,24927068.688075688,99158014.24905303,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.82703853396875, 58.292772945859, 58.23792774959744, 58.18720984678174, 58.141005301446484, 58.09968972608394, 58.06360560501687, 58.033057181302496]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",5,6433416.679538958,6435153.300728883,1736.6211899248883,0.04282138870511912,0.04347543708975771,0.0006540483846385892,-0.00019172000519289506,0.0004844501106950908,0.0006761701158879859,9822.113039338348,9986.198853441598,164.0858141032495,-0.0764818048409922,-0.06979180191331265,0.006690002927679559,1.5526373284424706,1.5624523810238669,0.009815052581396255
108,27.0,True,traj_000,108,1.2217304763960306,1.2217304763960306,1.4431098493092585,-0.07401840767793472,-0.10248702601560195,-1708.5748346730047,5693.72366753344,0.3000803928043756,1,50,18,0.027684006626402788,0.03600964713652506,0,0,"POD0_RNEG,POD1_RNEG,POD2_RNEG,POD3_RNEG",-2049.740520312039,4.092726157978177e-14,4.706640313655189e-14,0.0,6434285.279736558,0.04315100068555426,0.000145419442839251,9907.213509221225,-0.07315758412446775,1.5576220546160682,56185.279736557975,0.000493301347525109,24209.47386467578,257.50495126464835,36.463636282670485,546654.6939163778,133098.5341709442,16948.740318963595,-132014.9991480299,9.628013030338327,2157228.5590407997,2157228.5590407997,0.33822432370781264,0.7181435317956011,0.8526527949992955,-0.8394785228204671,-0.8394785228204671,1419430.1449899343,1624454.714491943,1440707.3570875332,-1605614.3270334569,1,0,,,,0,1,27.0,none,,0,0,0,,0,,0,1.4431098493092585,1.4431098493092585,0.00043528760225677355,0.0005585118740923344,20996.94729760029,27848.56585266523,55316.679538957775,57053.30072888266,1756.1390719572082,0.0006607477096311279,0.0006800285436262212,168.65228936075982,0.006715767683655241,0.009933244816403342,78.07152812744789,2.679729997015208e-05,1.5433710952941537e-05,18.26590103004675,0.00010305902390272416,0.0004727689400283808,1582822.007095073,4037747.9100428596,2035056.8662650944,2422648.746025716,26498208.274809103,62920163.41765506,1729178.6534197954,3705382.8287567045,27897251.45730642,59779824.55137086,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-724.141464124078,57.93593028868343,0.0,57.93593028868343,,0.0,-1,,1582822.007095073,4361349.161014159,26498208.274809103,103384522.2797253,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.785315776552196, 58.21449411731076, 58.15577921910961, 58.10144321797041, 58.05190895256203, 58.00757376880577, 57.96880227831729, 57.93593028868343]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",5,6433225.925006702,6434982.064078659,1756.1390719572082,0.04320179088371108,0.04386253859334221,0.0006607477096311279,-0.0001885425507283954,0.0004914859928978259,0.0006800285436262212,9803.785961262696,9972.438250623456,168.65228936075982,-0.0763024550122443,-0.06958668732858905,0.006715767683655241,1.5521809559628854,1.5621142007792888,0.009933244816403342
109,27.25,False,traj_000,108,1.2217304763960306,1.2217304763960306,1.4214736993726282,-0.09679330234806854,-0.09109957868053531,-1474.961352594084,5693.72366753344,0.2590503928043715,1,50,16,0.027684006626402788,0.024609787316415287,0,0,"POD0_RNEG,POD1_RNEG,POD2_RNEG,POD3_RNEG",-1821.9915736107014,3.637978807091713e-14,4.183680278804613e-14,0.0,6434104.244370527,0.04353487611213383,0.00015048172707278398,9891.311363500015,-0.07296566403665702,1.557228869265228,56004.244370526634,0.0005040956329500886,24659.864473627003,258.003050297542,37.33359962576155,556824.6026824781,135574.68587051643,20169.21985497403,-134066.02112142707,9.628554841698014,2155593.9946122235,2155593.9946122235,0.3379680460657913,0.7173303186174967,0.8534660081773998,-0.8398985506477313,-0.8398985506477313,1417034.12562067,1624376.7286053891,1438941.692855207,-1605002.26609537,1,0,,,,0,1,27.25,none,,0,0,0,,0,,0,1.4214736993726282,1.4214736993726282,0.000444291405536732,0.0005713859161952223,21351.360764496865,28412.028882230337,55125.92500670161,56882.06407865882,1775.769281797111,0.0006676271704366271,0.0006839314797666108,173.35766314121247,0.006744961574037242,0.010054989087283417,78.5208393576055,2.7517843221991703e-05,1.5611744561558435e-05,18.821495121808063,0.0001167755615280291,0.0004869770835205945,1590173.700095701,4067159.4541459526,2044509.0429801869,2440295.6724875714,26895751.699833028,63936953.28119154,1739591.3266562612,3727695.699977703,28332149.288970485,60711748.47636528,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-724.141464124078,57.93593028868343,0.0,57.93593028868343,,0.0,-1,,1582822.007095073,4361349.161014159,26498208.274809103,103384522.2797253,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.785315776552196, 58.21449411731076, 58.15577921910961, 58.10144321797041, 58.05190895256203, 58.00757376880577, 57.96880227831729, 57.93593028868343]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",5,6433035.879161658,6434811.648443455,1775.769281797111,0.04358149539952367,0.044249122569960296,0.0006676271704366271,-0.0001852422991111435,0.0004986891806554673,0.0006839314797666108,9785.084190702095,9958.441853843307,173.35766314121247,-0.07611606436671452,-0.06937110279267727,0.006744961574037242,1.5517158862404499,1.5617708753277333,0.010054989087283417
110,27.5,False,traj_000,108,1.2217304763960306,1.2217304763960306,1.3957380683953744,-0.11956819701820237,-0.09109957868053531,-1210.7725744205068,5693.72366753344,0.21265039280436696,1,50,16,0.027684006626402788,0.005316259820109174,0,0,"POD0_RNEG,POD1_RNEG,POD2_RNEG,POD3_RNEG",-1821.9915736107014,3.637978807091713e-14,4.183680278804613e-14,0.0,6433923.972905005,0.04391814952972489,0.0001556870239620718,9875.109651969862,-0.07276509363983735,1.5568289345349289,55823.97290500533,0.0005150583220240129,25113.674806858944,258.49907539511577,38.2188392364001,567071.7294971987,138069.6384862745,24046.96843504207,-135959.43652727685,9.629094412266902,2153962.7494567567,2153962.7494567567,0.337712288840996,0.7165173975831647,0.8542789292117319,-0.8403115369517642,-0.8403115369517642,1414641.8269934186,1624298.0106396836,1437190.3091831787,-1604381.3577941093,1,0,,,,0,1,27.5,none,,0,0,0,,0,,0,1.3957380683953744,1.3957380683953744,0.00045341958480923776,0.0005844823358511207,21706.98032466642,28981.721492896657,54935.879161657766,56711.64844345488,1795.5212594242766,0.0006746922992665397,0.000687880291302637,178.2052798973309,0.006778284475604662,0.010180226321714336,79.00791050656642,2.8260515319626384e-05,1.5795246144104882e-05,19.390467024477907,0.0001332916062696444,0.0005009489377239683,1597250.322779412,4096210.223156504,2053607.5578592445,2457726.133893902,27295064.280527882,64961005.83698067,1749778.7236467544,3749525.836385902,28769593.969882175,61649129.93546176,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-724.141464124078,57.93593028868343,0.0,57.93593028868343,,0.0,-1,,1582822.007095073,4361349.161014159,26498208.274809103,103384522.2797253,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.785315776552196, 58.21449411731076, 58.15577921910961, 58.10144321797041, 58.05190895256203, 58.00757376880577, 57.96880227831729, 57.93593028868343]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",5,6432846.562740691,6434642.084000115,1795.5212594242766,0.043960487696456364,0.044635179995722904,0.0006746922992665397,-0.00018181789467782922,0.0005060623966248078,0.000687880291302637,9766.003565207886,9944.208845105217,178.2052798973309,-0.07592098569930736,-0.0691427012237027,0.006778284475604662,1.5512425841174478,1.561422810439162,0.010180226321714336
111,27.75,False,traj_000,108,1.2217304763960306,1.2217304763960306,1.3658460191408204,-0.11956819701820237,0.0,-913.7879479219408,5693.72366753344,0.16049039280436314,0,50,0,0.027684006626402788,0.0496116580212003,0,0,,0.0,0.0,0.0,0.0,6433744.490569213,0.044300809371957434,0.00016103729065228148,9858.60608264409,-0.0725539023787131,1.5564226872618219,55644.490569213405,0.0005261889285256804,25570.707135185232,258.9929567811946,39.11936078280175,577391.6095965196,140582.30494523956,28611.100927836498,-137640.07180837085,9.62963166595043,2152334.8574584196,2152334.8574584196,0.33745705734598386,0.7157048010705575,0.8550915257243391,-0.8407178861912644,-0.8407178861912644,1412253.3207564063,1624218.5495317613,1435452.5645094488,-1603752.248220966,1,0,,,,0,1,27.75,none,,0,0,0,,0,,0,1.3658460191408204,1.3658460191408204,0.00046267075215196944,0.0005978018642245956,22063.57115660529,29557.503022068762,54746.562740691006,56542.08400011528,1815.4060346735641,0.0006819487726990661,0.0006918763207328046,183.19854829679753,0.00681649242580995,0.010308842735736734,79.53910099491941,2.9025893730084528e-05,1.5984117720669924e-05,19.973073597865834,0.00015283180082116543,0.0005144656560892604,1604042.2590370427,4124883.7032207,2062340.0473333409,2474930.2219324196,27696074.845287144,65992226.762785845,1759732.0422658634,3770854.376283993,29209526.98044864,62591843.52953276,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-724.141464124078,57.93593028868343,0.0,57.93593028868343,,0.0,-1,,1582822.007095073,4361349.161014159,26498208.274809103,103384522.2797253,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.785315776552196, 58.21449411731076, 58.15577921910961, 58.10144321797041, 58.05190895256203, 58.00757376880577, 57.96880227831729, 57.93593028868343]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",5,6432658.00047356,6434473.406508233,1815.4060346735641,0.04433875309875125,0.04502070187145032,0.0006819487726990661,-0.00017826816230372627,0.0005136081584290783,0.0006918763207328046,9746.540010107143,9929.73855840394,183.19854829679753,-0.0757154994373523,-0.06889900701154235,0.00681649242580995,1.5507617103046853,1.561070553040422,0.010308842735736734
