t_s,step,alt_m,V_mps,mach,phase,event
515.5,2062,8495.307333723642,148.37851751223914,0.46664247731654074,stowed,fbc_jettison
522.0,2088,7574.455578160472,141.0245229267679,0.43761762514059366,drogue,drogue_deploy
530.75,2123,6596.493323232979,95.3196202876736,0.29224611086475316,drogue,drogue_disreef
586.5,2346,2897.484366673976,59.187806330146465,0.17540444503420763,pilot,pilot_deploy
586.5,2346,2897.484366673976,59.187806330146465,0.17540444503420763,pilot,drogue_cut
593.75,2375,2396.5633123144507,73.23804981859064,0.21610515985999837,main,main_deploy
602.5,2410,2161.0625452836975,22.56530888225229,0.0664441452601748,main,main_disreef_1
603.75,2415,2138.9341828124598,14.615671530601194,0.0430276116916857,main,main1_squid_start
605.25,2421,2115.8119596298784,16.01266611128898,0.04713038431307362,main,main1_squid_end
610.5,2442,2041.4099135808647,13.87558122698819,0.04081254419599015,main,main_disreef_2
626.75,2507,1905.8408106220886,8.200309303979505,0.024089539288288195,main,main1_squid_start
628.25,2513,1892.186166793108,9.537472426200003,0.028014069977122722,main,main1_squid_end
806.25,3225,482.42629332561046,7.654570091724307,0.022153980639252162,main,main2_squid_start
807.75,3231,469.6410669917241,8.910567459532407,0.025785186487870353,main,main2_squid_end
808.5,3234,463.4591527990997,7.694692255901547,0.02226507340050544,main,main1_squid_start
810.0,3240,450.6615685345605,8.903185245523032,0.025757986159924313,main,main1_squid_end
839.0,3356,229.69530919659883,7.563928730475775,0.02182425837199406,main,main2_squid_start
840.5,3362,217.0549023943022,8.80617663759917,0.025404499461443294,main,main2_squid_end
869.5,3478,-1.5105010299012065,7.482681513596578,0.021526278544781684,landed,landed
