step,t_s,thruster
60,15.0,POD0_RNEG
60,15.0,POD1_RNEG
60,15.0,POD2_RNEG
60,15.0,POD3_RNEG
61,15.25,POD0_RNEG
61,15.25,POD1_RNEG
61,15.25,POD2_RNEG
61,15.25,POD3_RNEG
62,15.5,POD0_RNEG
62,15.5,POD1_RNEG
62,15.5,POD2_RNEG
62,15.5,POD3_RNEG
63,15.75,POD0_RNEG
63,15.75,POD1_RNEG
63,15.75,POD2_RNEG
63,15.75,POD3_RNEG
64,16.0,POD0_RNEG
64,16.0,POD1_RNEG
64,16.0,POD2_RNEG
64,16.0,POD3_RNEG
65,16.25,POD0_RNEG
65,16.25,POD1_RNEG
65,16.25,POD2_RNEG
65,16.25,POD3_RNEG
66,16.5,POD0_RNEG
66,16.5,POD1_RNEG
66,16.5,POD2_RNEG
66,16.5,POD3_RNEG
67,16.75,POD0_RNEG
67,16.75,POD1_RNEG
67,16.75,POD2_RNEG
67,16.75,POD3_RNEG
68,17.0,POD0_RNEG
68,17.0,POD1_RNEG
68,17.0,POD2_RNEG
68,17.0,POD3_RNEG
69,17.25,POD0_RNEG
69,17.25,POD1_RNEG
69,17.25,POD2_RNEG
69,17.25,POD3_RNEG
70,17.5,POD0_RNEG
70,17.5,POD1_RNEG
70,17.5,POD2_RNEG
70,17.5,POD3_RNEG
71,17.75,POD0_RNEG
71,17.75,POD1_RNEG
71,17.75,POD2_RNEG
71,17.75,POD3_RNEG
72,18.0,POD0_RNEG
72,18.0,POD1_RNEG
72,18.0,POD2_RNEG
72,18.0,POD3_RNEG
73,18.25,POD0_RNEG
73,18.25,POD1_RNEG
73,18.25,POD2_RNEG
73,18.25,POD3_RNEG
75,18.75,POD0_RNEG
75,18.75,POD1_RNEG
75,18.75,POD2_RNEG
75,18.75,POD3_RNEG
76,19.0,POD0_RNEG
76,19.0,POD1_RNEG
76,19.0,POD2_RNEG
76,19.0,POD3_RNEG
76,19.0,POD0_RPOS
76,19.0,POD1_RPOS
76,19.0,POD2_RPOS
76,19.0,POD3_RPOS
77,19.25,POD0_RPOS
77,19.25,POD1_RPOS
77,19.25,POD2_RPOS
77,19.25,POD3_RPOS
78,19.5,POD0_RPOS
78,19.5,POD1_RPOS
78,19.5,POD2_RPOS
78,19.5,POD3_RPOS
79,19.75,POD0_RPOS
79,19.75,POD1_RPOS
79,19.75,POD2_RPOS
79,19.75,POD3_RPOS
80,20.0,POD0_RPOS
80,20.0,POD1_RPOS
80,20.0,POD2_RPOS
80,20.0,POD3_RPOS
81,20.25,POD0_RPOS
81,20.25,POD1_RPOS
81,20.25,POD2_RPOS
81,20.25,POD3_RPOS
82,20.5,POD0_RPOS
82,20.5,POD1_RPOS
82,20.5,POD2_RPOS
82,20.5,POD3_RPOS
83,20.75,POD0_RPOS
83,20.75,POD1_RPOS
83,20.75,POD2_RPOS
83,20.75,POD3_RPOS
84,21.0,POD0_RPOS
84,21.0,POD1_RPOS
84,21.0,POD2_RPOS
84,21.0,POD3_RPOS
85,21.25,POD0_RPOS
85,21.25,POD1_RPOS
85,21.25,POD2_RPOS
85,21.25,POD3_RPOS
86,21.5,POD0_RPOS
86,21.5,POD1_RPOS
86,21.5,POD2_RPOS
86,21.5,POD3_RPOS
87,21.75,POD0_RPOS
87,21.75,POD1_RPOS
87,21.75,POD2_RPOS
87,21.75,POD3_RPOS
88,22.0,POD0_RPOS
88,22.0,POD1_RPOS
88,22.0,POD2_RPOS
88,22.0,POD3_RPOS
89,22.25,POD0_RPOS
89,22.25,POD1_RPOS
89,22.25,POD2_RPOS
89,22.25,POD3_RPOS
90,22.5,POD0_RPOS
90,22.5,POD1_RPOS
90,22.5,POD2_RPOS
90,22.5,POD3_RPOS
91,22.75,POD0_RPOS
91,22.75,POD1_RPOS
91,22.75,POD2_RPOS
91,22.75,POD3_RPOS
92,23.0,POD0_RPOS
92,23.0,POD1_RPOS
92,23.0,POD2_RPOS
92,23.0,POD3_RPOS
93,23.25,POD0_RPOS
93,23.25,POD1_RPOS
93,23.25,POD2_RPOS
93,23.25,POD3_RPOS
98,24.5,POD0_RNEG
98,24.5,POD1_RNEG
98,24.5,POD2_RNEG
98,24.5,POD3_RNEG
99,24.75,POD0_RNEG
99,24.75,POD1_RNEG
99,24.75,POD2_RNEG
99,24.75,POD3_RNEG
100,25.0,POD0_RNEG
100,25.0,POD1_RNEG
100,25.0,POD2_RNEG
100,25.0,POD3_RNEG
101,25.25,POD0_RNEG
101,25.25,POD1_RNEG
101,25.25,POD2_RNEG
101,25.25,POD3_RNEG
102,25.5,POD0_RNEG
102,25.5,POD1_RNEG
102,25.5,POD2_RNEG
102,25.5,POD3_RNEG
103,25.75,POD0_RNEG
103,25.75,POD1_RNEG
103,25.75,POD2_RNEG
103,25.75,POD3_RNEG
104,26.0,POD0_RNEG
104,26.0,POD1_RNEG
104,26.0,POD2_RNEG
104,26.0,POD3_RNEG
105,26.25,POD0_RNEG
105,26.25,POD1_RNEG
105,26.25,POD2_RNEG
105,26.25,POD3_RNEG
106,26.5,POD0_RNEG
106,26.5,POD1_RNEG
106,26.5,POD2_RNEG
106,26.5,POD3_RNEG
107,26.75,POD0_RNEG
107,26.75,POD1_RNEG
107,26.75,POD2_RNEG
107,26.75,POD3_RNEG
108,27.0,POD0_RNEG
108,27.0,POD1_RNEG
108,27.0,POD2_RNEG
108,27.0,POD3_RNEG
109,27.25,POD0_RNEG
109,27.25,POD1_RNEG
109,27.25,POD2_RNEG
109,27.25,POD3_RNEG
110,27.5,POD0_RNEG
110,27.5,POD1_RNEG
110,27.5,POD2_RNEG
110,27.5,POD3_RNEG
112,28.0,POD0_RNEG
112,28.0,POD1_RNEG
112,28.0,POD2_RNEG
112,28.0,POD3_RNEG
117,29.25,POD0_RPOS
117,29.25,POD1_RPOS
117,29.25,POD2_RPOS
117,29.25,POD3_RPOS
119,29.75,POD0_RPOS
119,29.75,POD1_RPOS
119,29.75,POD2_RPOS
119,29.75,POD3_RPOS
120,30.0,POD0_RPOS
120,30.0,POD1_RPOS
120,30.0,POD2_RPOS
120,30.0,POD3_RPOS
121,30.25,POD0_RPOS
121,30.25,POD1_RPOS
121,30.25,POD2_RPOS
121,30.25,POD3_RPOS
122,30.5,POD0_RPOS
122,30.5,POD1_RPOS
122,30.5,POD2_RPOS
122,30.5,POD3_RPOS
123,30.75,POD0_RPOS
123,30.75,POD1_RPOS
123,30.75,POD2_RPOS
123,30.75,POD3_RPOS
124,31.0,POD0_RPOS
124,31.0,POD1_RPOS
124,31.0,POD2_RPOS
124,31.0,POD3_RPOS
125,31.25,POD0_RPOS
125,31.25,POD1_RPOS
125,31.25,POD2_RPOS
125,31.25,POD3_RPOS
126,31.5,POD0_RPOS
126,31.5,POD1_RPOS
126,31.5,POD2_RPOS
126,31.5,POD3_RPOS
127,31.75,POD0_RPOS
127,31.75,POD1_RPOS
127,31.75,POD2_RPOS
127,31.75,POD3_RPOS
128,32.0,POD0_RPOS
128,32.0,POD1_RPOS
128,32.0,POD2_RPOS
128,32.0,POD3_RPOS
129,32.25,POD0_RPOS
129,32.25,POD1_RPOS
129,32.25,POD2_RPOS
129,32.25,POD3_RPOS
131,32.75,POD0_RPOS
131,32.75,POD1_RPOS
131,32.75,POD2_RPOS
131,32.75,POD3_RPOS
132,33.0,POD0_RPOS
132,33.0,POD1_RPOS
132,33.0,POD2_RPOS
132,33.0,POD3_RPOS
136,34.0,POD0_RNEG
136,34.0,POD1_RNEG
136,34.0,POD2_RNEG
136,34.0,POD3_RNEG
138,34.5,POD0_RNEG
138,34.5,POD1_RNEG
138,34.5,POD2_RNEG
138,34.5,POD3_RNEG
140,35.0,POD0_RNEG
140,35.0,POD1_RNEG
140,35.0,POD2_RNEG
140,35.0,POD3_RNEG
141,35.25,POD0_RNEG
141,35.25,POD1_RNEG
141,35.25,POD2_RNEG
141,35.25,POD3_RNEG
142,35.5,POD0_RNEG
142,35.5,POD1_RNEG
142,35.5,POD2_RNEG
142,35.5,POD3_RNEG
143,35.75,POD0_RNEG
143,35.75,POD1_RNEG
143,35.75,POD2_RNEG
143,35.75,POD3_RNEG
144,36.0,POD0_RNEG
144,36.0,POD1_RNEG
144,36.0,POD2_RNEG
144,36.0,POD3_RNEG
145,36.25,POD0_RNEG
145,36.25,POD1_RNEG
145,36.25,POD2_RNEG
145,36.25,POD3_RNEG
146,36.5,POD0_RNEG
146,36.5,POD1_RNEG
146,36.5,POD2_RNEG
146,36.5,POD3_RNEG
148,37.0,POD0_RNEG
148,37.0,POD1_RNEG
148,37.0,POD2_RNEG
148,37.0,POD3_RNEG
150,37.5,POD0_RNEG
150,37.5,POD1_RNEG
150,37.5,POD2_RNEG
150,37.5,POD3_RNEG
151,37.75,POD0_RNEG
151,37.75,POD1_RNEG
151,37.75,POD2_RNEG
151,37.75,POD3_RNEG
156,39.0,POD0_RPOS
156,39.0,POD1_RPOS
156,39.0,POD2_RPOS
156,39.0,POD3_RPOS
159,39.75,POD0_RPOS
159,39.75,POD1_RPOS
159,39.75,POD2_RPOS
159,39.75,POD3_RPOS
160,40.0,POD0_RPOS
160,40.0,POD1_RPOS
160,40.0,POD2_RPOS
160,40.0,POD3_RPOS
161,40.25,POD0_RPOS
161,40.25,POD1_RPOS
161,40.25,POD2_RPOS
161,40.25,POD3_RPOS
162,40.5,POD0_RPOS
162,40.5,POD1_RPOS
162,40.5,POD2_RPOS
162,40.5,POD3_RPOS
163,40.75,POD0_RPOS
163,40.75,POD1_RPOS
163,40.75,POD2_RPOS
163,40.75,POD3_RPOS
164,41.0,POD0_RPOS
164,41.0,POD1_RPOS
164,41.0,POD2_RPOS
164,41.0,POD3_RPOS
166,41.5,POD0_RPOS
166,41.5,POD1_RPOS
166,41.5,POD2_RPOS
166,41.5,POD3_RPOS
169,42.25,POD0_RPOS
169,42.25,POD1_RPOS
169,42.25,POD2_RPOS
169,42.25,POD3_RPOS
176,44.0,POD0_RNEG
176,44.0,POD1_RNEG
176,44.0,POD2_RNEG
176,44.0,POD3_RNEG
178,44.5,POD0_RNEG
178,44.5,POD1_RNEG
178,44.5,POD2_RNEG
178,44.5,POD3_RNEG
