run_id,step,t,r_lo,r_hi,phi_lo,phi_hi,lam_lo,lam_hi,V_lo,V_hi,gamma_lo,gamma_hi,chi_lo,chi_hi,rho_lo,rho_hi,q_lo,q_hi
668abc4e-780d-47a7-ae1a-1384dd9d08d0,0,0.0,6435923.266468614,6439941.012097669,0.3002926942190099,0.31030191592354633,0.9999723692334324,1.0100276307665677,7601.718517253831,7803.1895474425,-0.0908071711678851,-0.08375221836361663,1.483632367999489,1.6581895391367112,0.00023349226706843374,0.0004255131881264079,6746.306597443812,12954.699464330773
668abc4e-780d-47a7-ae1a-1384dd9d08d0,1,0.25,6435746.363432525,6439782.032910751,0.30058545726706254,0.31060396419772895,0.9999446836280271,1.0100552439301924,7603.468420858876,7806.447142537303,-0.09085774212246273,-0.08372774849072757,1.4837352183205823,1.6583171190467019,0.00023822751407322855,0.0004348187057059917,6886.291716286749,13249.060102090523
668abc4e-780d-47a7-ae1a-1384dd9d08d0,2,0.5,6435569.288256772,6439623.06347806,0.3008782903132372,0.31090614749460604,0.9999169426270457,1.0100828395969355,7605.250308520829,7809.77434041818,-0.09090884608319962,-0.08370237498586697,1.4838384195721426,1.6584455460408862,0.00024304949167185024,0.0004443199210844865,7028.97091401255,13550.10811052196
668abc4e-780d-47a7-ae1a-1384dd9d08d0,3,0.75,6435392.038243721,6439464.104864586,0.30117119454871233,0.31120846854730966,0.9998891456611598,1.0101104178760705,7607.064788308702,7813.17273437403,-0.09096049546761215,-0.08367607790772995,1.4839419762260466,1.6585748374539002,0.0002479595731418979,0.0004540209526877716,7174.392202711694,13858.006211629188
668abc4e-780d-47a7-ae1a-1384dd9d08d0,4,1.0,6435214.610631436,6439305.158162227,0.30146417118713936,0.3115109301515457,0.9998612921481189,1.0101379788801699,7608.912478810987,7816.643956947325,-0.09101270300387573,-0.0836488368531014,1.484045892812445,1.6587050110508152,0.00025295914773399504,0.0004639260128129581,7322.6043802546255,14172.92177221966
668abc4e-780d-47a7-ae1a-1384dd9d08d0,5,1.25,6435037.002592,6439146.224490538,0.30175722146502165,0.3118135351671369,0.9998333814924056,1.0101655227251918,7610.794009293386,7820.1896810716635,-0.09106548174005338,-0.08362063094467515,1.484150173919804,1.658836085039673,0.00025804962065465635,0.00047403941019676885,7473.657041295875,14495.026968078248
668abc4e-780d-47a7-ae1a-1384dd9d08d0,6,1.5,6434859.211229789,6438987.304997515,0.3020503466420988,0.31211628651961104,0.9998054130848819,1.0101930495305718,7612.710019858092,7823.811621250127,-0.09111884505366277,-0.08359143881847599,1.4842548241949098,1.6589680780844716,0.00026323241303823677,0.00048436555267269656,7627.600588329616,14824.498955194013
668abc4e-780d-47a7-ae1a-1384dd9d08d0,7,1.75,6434681.233579687,6438828.400860389,0.3023435480017358,0.31241918720183504,0.9997773863024233,1.0102205594193159,7614.661161604578,7827.511534776208,-0.0911728066615968,-0.08356123861086846,1.4843598483428306,1.6591010093186231,0.0002685089619077836,0.0004949089499207408,7784.486242801109,15161.520048393853
668abc4e-780d-47a7-ae1a-1384dd9d08d0,8,2.0,6434503.066605247,6438669.513286461,0.302636826851318,0.3127222402756972,0.9997493005075416,1.010248052518098,7616.648096791878,7831.291222999177,-0.09122738063041326,-0.08353000794513533,1.4844652511268361,1.6592348983589051,0.00027388072012362116,0.0005056742163136874,7944.366056249955,15506.277907756776
668abc4e-780d-47a7-ae1a-1384dd9d08d0,9,2.25,6434324.707196791,6438510.643513958,0.30293018452265075,0.3130254488738394,0.9997211550479955,1.0102755289573595,7618.6714990023065,7835.152532635857,-0.09128258138701005,-0.08349772391760803,1.4845710373682708,1.659369765319926,0.00027934915631949557,0.0005166660738641607,8107.292921490093,15858.965733205903
668abc4e-780d-47a7-ae1a-1384dd9d08d0,10,2.5,6434146.152169457,6438351.792812914,0.30322362237236494,0.3133288162014404,0.999692949256389,1.0103029888714132,7620.732053306592,7839.097357130848,-0.09133842372970336,-0.0834643630833304,1.484677211946379,1.6595056308291285,0.0002849157548254231,0.0005278893552762296,8273.320583811717,16219.782467677996
668abc4e-780d-47a7-ae1a-1384dd9d08d0,11,2.75,6433967.39826117,6438192.962486085,0.30351714178232725,0.3136323455380533,0.999664682449756,1.0103304323985505,7622.830456430367,7843.127638067383,-0.09139492283972694,-0.0834299014412362,1.4847837797980783,1.6596425160423554,0.0002905820155765114,0.0005393490071072891,8442.503652194098,16588.93300934729
668abc4e-780d-47a7-ae1a-1384dd9d08d0,12,3.0,6433788.44213056,6438034.153869893,0.30381074416005616,0.31393604023949795,0.9996363539291324,1.0103578596811507,7624.96741692197,7847.245366631094,-0.09145209429317172,-0.08339431441881974,1.4848907459176806,1.6597804426600038,0.0002963494540070619,0.0005510500930436626,8614.897610519423,16966.628433329217
668abc4e-780d-47a7-ae1a-1384dd9d08d0,13,3.25,6433609.280354803,6437875.368335407,0.30410443093914297,0.3142399037398111,0.9996079629791131,1.0103852708657965,7627.143655321507,7851.452585129077,-0.09150995407338582,-0.08335757685627813,1.484998115356554,1.6599194329437932,0.0003022196009290889,0.0005629977972960382,8790.558828772884,17353.08622339147
668abc4e-780d-47a7-ae1a-1384dd9d08d0,14,3.5,6433429.909427399,6437716.607289342,0.3043982035796784,0.31454393955325616,0.999579508867395,1.0104126661033923,7629.359904331113,7855.7513885667895,-0.09156851858385638,-0.0833196629901024,1.4851058932227266,1.6600595097341782,0.0003081940023947865,0.0005751974281192409,8969.544574225709,17748.530514171616
668abc4e-780d-47a7-ae1a-1384dd9d08d0,15,3.75,6433250.325755863,6437557.872175112,0.3046920635686843,0.3148481512763954,0.9995509908443042,1.0104400455492857,7631.6169089863415,7860.143926285436,-0.09162780466159541,-0.08328054643609363,1.4852140846804263,1.6602006964684337,0.00031427421954143074,0.0005876544214627971,9151.91302256759,18153.19234448356
668abc4e-780d-47a7-ae1a-1384dd9d08d0,16,4.0,6433070.525659357,6437399.164473903,0.30498601242055073,0.31515254259022596,0.9995224081423081,1.0104674093633947,7633.915426828619,7864.632403662642,-0.09168782959105333,-0.08324020017177909,1.4853226949495542,1.6603430171994458,0.00032046182841870464,0.0006003743447571998,9337.723268998561,18567.30992227159
668abc4e-780d-47a7-ae1a-1384dd9d08d0,17,4.25,6432890.505366226,6437240.485705791,0.3052800516774785,0.31545711726238296,0.9994937599755098,1.010494757710339,7636.256228078689,7869.219083879375,-0.09174861111858501,-0.08319859651820198,1.485431729305088,1.6604864966152406,0.00032675841979673824,0.0006133629008426046,9527.035339241038,18991.128901853233
668abc4e-780d-47a7-ae1a-1384dd9d08d0,18,4.5,6432710.261011459,6437081.837430896,0.3055741829099265,0.31576187914941234,0.9994650455391265,1.0105220907595747,7638.640095810947,7873.906289756206,-0.0918101674674945,-0.08315570695317968,1.4855411930764122,1.6606311600592871,0.00033316559895430625,0.0006266259320464345,9719.910200466162,19424.902674112076
